marketID,holdoutID
AK,H-Alaska
AL,H-Alabama
AT,H-Atlanta
AU,H-Austin
AUR,H-Aurora
AZ,H-Gr PHX AZ
BA1,H-Gr SF 1 East Bay
BA2,H-Gr SF 2 San Mateo
BAE,H-Gr SF 1 East Bay
BAP,H-Gr SF 2 San Mateo
BK,H-Brooklyn
BM,H-Birmingham
BO,H-Boston
BT,H-Baltimore
CB,H-Columbus
CH,H-Chicago
CL,H-Charlotte
CLE,H-Cleveland
CN,H-Cincinnati
CO,H-Colorado
COSP,H-ColoradoSpr
CT,H-Gr NYC Connecticut
DAY,H-Dayton
DC,H-DC
DCM,H-Gr DC MD
DCV,H-Gr DC VA
DFW,H-Dallas
DN,H-Denver
DT,H-Detroit
EN1,H-New En MA-RI
EN2,H-New En MENHVT
EP,H-El Paso
FL,H-Fort Lauderdale
GA,H-Georgia
GAU,H-Greater Austin
GB,H-Gr Boston
GC,H-Gr Chicago
GD,H-Gr Dallas
GH,H-Greater Houston
GNJ,H-Gr NYC NJ
GNYL,H-Gr NYC LI
GNYW,H-Gr NYC WC
HO,H-Houston
ID,H-Indianapolis
IE,H-Inland Empire
IL,H-Illinois
JCK,H-Jacksonville
LA,H-LA
LA1,H-LA
LA2,H-LA
LL,H-Louisville
LO,H-Louisiana
LT,H-Colorado
LV,H-Las Vegas
MAL,H-Gr LA LAC
MEM,H-Memphis
MH,H-Manhattan
MH1,H-Manhattan
MH2,H-Manhattan
MI,H-Miami
MK,H-Missouri Kansas
MKE,H-Milwaukee
MN,H-Minnesota
MSP,H-Minneapolis
NCA,H-Northern Californi
NEB,H-Nebraska
NEM,H-New Mexico
NER,H-New En MA-RI
NJ,H-New Jersey
NM,H-New Mexico
NO,H-New Orleans
NP,H-Naples
NV,H-Nashville
OC,H-Gr LA OC
OK,H-Oklahoma City
OM,H-Omaha
ORL,H-Orlando
PB,H-Pittsburgh
PD,H-Portland
PH,H-Philadelphia
PNW,H-Pacific Northwest
PX,H-Phoenix
QN,H-Queens
RL,H-Raleigh
SA,H-San Antonio
SC,H-Sacramento
SCA,H-Southern Californi
SCAR,H-South Carolina
SD,San Diego
SE,H-Seattle
SF,H-SF
SLC,H-Salt Lake City
SPTX,H-Spring TX
STL,H-St Louis
SV,H-Silicon Valley
TM,H-Tampa
TN,H-Tennessee
TU,H-Tulsa
TUC,H-TUCSON
TX,H-Texas
UNY,H-Upstate NY
UT,H-Utah
VA,H-Virginia
WI,H-Wisconsin
WLI,H-Gr NYC WC
WPB,H-West Palm Beach
