order,priority,Status,originalFileName,mailkey,Mailing,testCell,Targeting,Test Description,Format,Paper,Cost,Quantity,inHomeDate,endDate,CPP
1,1,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - Manhattan A.csv,MANHATTAN A,Shared Mid October Cities,MANHATTAN,Cities,MANHATTAN,,,6000,200000,10/11/19,1/8/20,
1,2,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - Manhattan B.csv,MANHATTAN B,Shared Mid October Cities,MANHATTAN,Cities,MANHATTAN,,,6000,200000,10/11/19,1/8/20,
2,3,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - AUSTIN A.CSV,AUSTIN A,Shared Mid October Cities,AUSTIN,Cities,AUSTIN,,,6000,200000,10/11/19,1/8/20,
2,4,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - AUSTIN B.CSV,AUSTIN B,Shared Mid October Cities,AUSTIN,Cities,AUSTIN,,,6000,200000,10/11/19,1/8/20,
3,5,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - GR NYC CONNECTICUT.CSV,GR NYC CONNECTICUT,Shared Mid October Cities,GR NYC CONNECTICUT,Cities,GR NYC CONNECTICUT,,,4500,150000,10/11/19,1/8/20,
4,6,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - GREATER BOSTON A.CSV,GREATER BOSTON A,Shared Mid October Cities,GREATER BOSTON,Cities,GREATER BOSTON,,,6000,200000,10/11/19,1/8/20,
4,7,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - GREATER BOSTON B.CSV,GREATER BOSTON B,Shared Mid October Cities,GREATER BOSTON,Cities,GREATER BOSTON,,,6000,200000,10/11/19,1/8/20,
5,8,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - HOUSTON A.CSV,HOUSTON A,Shared Mid October Cities,HOUSTON,Cities,HOUSTON,,,6000,200000,10/11/19,1/8/20,
5,9,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - HOUSTON B.CSV,HOUSTON B,Shared Mid October Cities,HOUSTON,Cities,HOUSTON,,,6000,200000,10/11/19,1/8/20,
6,10,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - ILLINOIS.CSV,ILLINOIS,Shared Mid October Cities,ILLINOIS,Cities,ILLINOIS,,,4500,150000,10/11/19,1/8/20,
7,11,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NEW ENGLAND A.CSV,NEW ENGLAND A,Shared Mid October Cities,NEW ENGLAND,Cities,NEW ENGLAND,,,6000,200000,10/11/19,1/8/20,
7,12,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NEW ENGLAND B.CSV,NEW ENGLAND B,Shared Mid October Cities,NEW ENGLAND,Cities,NEW ENGLAND,,,6000,200000,10/11/19,1/8/20,
8,13,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NORTHCENTRAL CALI A.CSV,NORTHCENTRAL CALI A,Shared Mid October Cities,NORTHCENTRAL CALI,Cities,NORTHCENTRAL CALI,,,6000,200000,10/11/19,1/8/20,
8,14,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NORTHCENTRAL CALI B.CSV,NORTHCENTRAL CALI B,Shared Mid October Cities,NORTHCENTRAL CALI,Cities,NORTHCENTRAL CALI,,,6000,200000,10/11/19,1/8/20,
9,15,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - PACIFIC NW A.CSV,PACIFIC NW A,Shared Mid October Cities,PACIFIC NW,Cities,PACIFIC NW,,,6000,200000,10/11/19,1/8/20,
9,16,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - PACIFIC NW B.CSV,PACIFIC NW B,Shared Mid October Cities,PACIFIC NW,Cities,PACIFIC NW,,,6000,200000,10/11/19,1/8/20,
10,17,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - SOUTH CAROLINA.CSV,SOUTH CAROLINA,Shared Mid October Cities,SOUTH CAROLINA,Cities,SOUTH CAROLINA,,,3000,100000,10/11/19,1/8/20,
11,18,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - SOUTHERN CALI A.CSV,SOUTHERN CALI A,Shared Mid October Cities,SOUTHERN CALI,Cities,SOUTHERN CALI,,,6000,200000,10/11/19,1/8/20,
11,19,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - SOUTHERN CALI B.CSV,SOUTHERN CALI B,Shared Mid October Cities,SOUTHERN CALI,Cities,SOUTHERN CALI,,,6000,200000,10/11/19,1/8/20,
12,1,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - BAY AREA 1 A.CSV,BAY AREA 1 A,Shared Late October Cities,EAST/NORTH BAY AREA,Cities,EAST/NORTH BAY AREA,,,6000,200000,10/23/19,1/20/20,
12,2,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - BAY AREA 1 B.CSV,BAY AREA 1 B,Shared Late October Cities,EAST/NORTH BAY AREA,Cities,EAST/NORTH BAY AREA,,,6000,200000,10/23/19,1/20/20,
13,3,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - BAY AREA 2.CSV,BAY AREA 2,Shared Late October Cities,SAN MATEO BAY AREA,Cities,SAN MATEO BAY AREA,,,3000,100000,10/23/19,1/20/20,
14,4,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - COLUMBUS.CSV,COLUMBUS,Shared Late October Cities,COLUMBUS,Cities,COLUMBUS,,,3000,100000,10/23/19,1/20/20,
